26,  1,  1,  1,  0,  1,  -38.0,       1
19,  1,  0,  0,  1,  1,  -30.0,       1
11,  0,  1,  0,  1,  1,  -10.0,       1
5 ,  0,  1,  1,  0,  1,   -8.0,       1
12,  0,  0,  0,  1,  1,    0.0,       1
20,  1,  1,  0,  1,  1,   80.0,       1
29,  1,  0,  1,  0,  1,   92.0,       1
13,  0,  0,  1,  1,  1,  230.0,       1
22,  1,  1,  1,  1,  0,  238.0,       1
2 ,  0,  0,  1,  0,  1,  242.0,       1
18,  1,  0,  1,  1,  1,  440.0,       1
9 ,  0,  1,  1,  1,  0,  448.0,       1
27,  1,  1,  0,  0,  1,  452.0,       1
10,  0,  1,  1,  1,  1,  700.0,       1
4 ,  0,  1,  0,  0,  1,  722.0,       1
17,  1,  0,  1,  1,  0,  728.0,       1
21,  1,  1,  1,  1,  1, 1030.0,       1
14,  0,  0,  1,  1,  0, 1058.0,       1
28,  1,  0,  0,  0,  1, 1062.0,       1
23,  1,  1,  0,  1,  0, 1448.0,       1
3 ,  0,  0,  0,  0,  1, 1452.0,       1
8 ,  0,  1,  0,  1,  0, 1898.0,       1
25,  1,  1,  1,  0,  0, 2410.0,       1
16,  1,  0,  0,  1,  0, 2418.0,       1
6 ,  0,  1,  1,  0,  0, 2980.0,       1
15,  0,  0,  0,  1,  0, 2988.0,       1
30,  1,  0,  1,  0,  0, 3620.0,       1
1 ,  0,  0,  1,  0,  0, 4310.0,       1
24,  1,  1,  0,  0,  0, 5060.0,       1
7 ,  0,  1,  0,  0,  0, 5870.0,       1
31,  1,  0,  0,  0,  0, 6750.0,       1
0 ,  0,  0,  0,  0,  0, 7680.0,       1